,MJD-OBS,TELRA,TELDEC,AMSTART,fn,On Slit,Binary Component,Nod Position
125,59287.173415,10:49:12.362,-53:19:05.53,1.087,SDCS_20210313_0038.fits,Y,B,B
126,59287.174101,10:49:12.361,-53:19:05.53,1.087,SDCS_20210313_0039.fits,Y,B,B
127,59287.174784,10:49:12.361,-53:19:05.53,1.087,SDCS_20210313_0040.fits,Y,B,B
128,59287.175475,10:49:12.360,-53:19:05.53,1.087,SDCS_20210313_0041.fits,Y,B,B
129,59287.175614,10:49:12.360,-53:19:05.53,1.087,SDCS_20210313_0042.fits,Y,B,B
130,59287.176295,10:49:12.360,-53:19:05.53,1.088,SDCS_20210313_0043.fits,Y,B,B
131,59287.176979,10:49:12.359,-53:19:05.53,1.088,SDCS_20210313_0044.fits,Y,B,B
132,59287.177661,10:49:12.181,-53:19:07.23,1.088,SDCS_20210313_0045.fits,Y,B,A
133,59287.178347,10:49:12.180,-53:19:07.23,1.088,SDCS_20210313_0046.fits,Y,B,A
134,59287.179032,10:49:12.180,-53:19:07.23,1.088,SDCS_20210313_0047.fits,Y,B,A
135,59287.179719,10:49:12.179,-53:19:07.23,1.088,SDCS_20210313_0048.fits,Y,B,A
136,59291.296023,10:49:12.295,-53:19:02.75,1.349,SDCS_20210317_0077.fits,N,-,-
137,59291.297239,10:49:11.993,-53:19:06.54,1.354,SDCS_20210317_0078.fits,Y,A,A
138,59291.298075,10:49:11.970,-53:19:06.44,1.358,SDCS_20210317_0079.fits,Y,A,A
139,59291.298369,10:49:12.003,-53:19:06.44,1.359,SDCS_20210317_0080.fits,Y,A,A
140,59291.298624,10:49:12.003,-53:19:06.44,1.361,SDCS_20210317_0081.fits,Y,A,A
141,59291.298987,10:49:12.002,-53:19:06.44,1.362,SDCS_20210317_0082.fits,Y,A,A
142,59291.29965,10:49:12.002,-53:19:06.43,1.365,SDCS_20210317_0083.fits,Y,A,A
143,59291.299792,10:49:12.002,-53:19:06.43,1.366,SDCS_20210317_0084.fits,Y,A,A
144,59291.300474,10:49:12.001,-53:19:06.43,1.369,SDCS_20210317_0085.fits,Y,A,A
