Night,Binary Component,BTJD
20210311,A,2285.6410237500004
20210311,B,2285.6525107499983
20210312,A,2286.7497442500007
20210312,B,2286.7598769999986
20210313,A,2287.65655575
20210313,B,2287.6744209999997
20210317,A,2291.8008025000017
20210317,B,2291.809700500002
